,O_demethylation,aldehyde_oxidation,aromatic_hydroxylation,decarboxylation,deglycosylation,desulfation,ester_hydrolysis,methylation,reduction,ring_cleavage,side_chain_cleavage
n_aromatic_aldehyde,0.0009024288046742828,0.16475220978046667,0.004208540233926659,0.001268270215357621,0.0008868402874919848,0.0027881579473909507,0.0014735253975094694,0.0016815100137013595,0.006207647880636561,0.001827452442800371,0.009326141300031876
n_vinyl_aromatic,0.00014289394952414597,0.01937955674311487,0.007540810534586437,0.07190359529141875,0.022826985139776115,0.0010840467030072973,0.09968824405002184,0.0015789274336680604,0.19432901213512516,0.0035517158831814386,0.23675350824786062
n_ester_bond,0.00397670672628874,3.617967692844426e-16,0.004177248750625434,0.0047959782727437,2.239799211175258e-16,0.0061008858918925905,0.33754743654345337,0.006866085605991376,0.01092871873296522,0.003823419873653512,0.007467357682557399
n_aryl_O_glycoside,0.0,0.002754810015882451,0.0047628250901458015,0.0006150181830015548,0.2685504695256366,0.0013180398498973324,0.0,0.0014925370998382878,0.0008434364642491573,0.0006729120996167762,0.0019653939147277516
n_aryl_sulfate_ester,7.010483932448337e-05,0.0007216182263708685,0.009457826515899945,4.169384970971781e-15,0.007874007597494802,0.33798760193792154,0.0013216010389877192,0.00022045077246876066,0.008881869145745118,0.0016276426021510097,0.001976228683265113
n_flavone_core,0.00014944838026068383,0.016197420873922574,0.006037794614062967,0.008257109783959722,0.02193614341682568,0.02326563220203408,0.01314429771251943,0.0007917139756176647,0.01721970486677616,0.07006125725969939,0.0308219923168172
phylum_Actinomycetota,0.026020805245982184,0.004032696819568017,0.04551225032137521,0.00728621369582515,0.004632348355773024,0.011091258393125856,0.004212827938688973,0.01579180773423038,0.017104413717766234,0.02612845466062187,0.013024409706562818
phylum_Bacillota,0.03981528417085811,0.003273373695755245,0.051510001541614996,0.012621164429400073,0.006631715202304307,0.010652111269039595,0.0016492949260665996,0.011385025340537598,0.14223620257900788,0.04937980712569518,0.014320411976222256
phylum_Bacteroidota,0.06416208369558257,0.02902495389689782,0.3424510235565868,0.03287374630144434,0.024343037745829306,0.00524361287596455,0.00018726014986712657,0.044043800357275814,0.04294083782233105,0.07587513965761673,0.08292784039097537
phylum_Pseudomonadota,0.024190031831683206,0.005591416891586375,0.07273015769215768,0.009195154544674298,0.017994091595941092,0.003965064839109936,0.001237259844052515,0.1446780778917996,0.045554639514097356,0.09784537154788372,0.017322202782219475
habitat_marine,0.002386576401253267,0.0006132805854876252,0.02732271979212141,0.0037141179819230536,0.0072506803830234366,0.02144330447370017,0.0022232408275480978,0.05074439794978589,0.02199707502239217,0.03976478774300827,0.006987594721243831
habitat_terrestrial,0.002741764999686574,0.0007430858886730904,0.02633551958750019,0.004945654488997723,0.007556899807697593,0.03246493722395321,0.0025993699970214244,0.045304272635635426,0.02725650290508768,0.02592448470399811,0.006820294758164781
